zone,population,placename,category,description,total10,total11,total12,total13,total14,total15,total16,total17,total18,total19,total20,total21,total22,total23,2024,2025,last12mos,total_prior3years,avg_prior3years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior3years
01,4900,Murchison Road,Other/Unknown,FRAUD - WORTHLESS CHECK,0,1,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
01,4900,Murchison Road,Other/Unknown,PHYSICAL ASLT - SEXUAL MOTIVE,0,1,1,0,0,0,3,5,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
01,4900,Murchison Road,Theft,LARCENY - PURSESNATCHING,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
01,4900,Murchison Road,Aggravated Assault,SHOOTING INTO OCCUPIED DWELLING,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
01,4900,Murchison Road,Burglary,BURGLARY - FORCE ENTRY - RES - HOMEINVS,0,0,2,6,6,2,1,0,3,3,3,1,1,1,1,2,2,5,1.7,-66.7,-33.3,100,18,61.2,61.2,20.4,20.4,40.8,34.7
01,4900,Murchison Road,Motor Vehicle Theft,MOTOR VEHICLE THEFT - RECREATIONAL VEHICLE,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,0.3,NA,NA,100,567,0,0,0,20.4,40.8,6.1
01,4900,Murchison Road,Other/Unknown,COUNTERFEIT - SELL / DELIVER,0,0,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,-100,-100,NA,NA,81.6,0,0,0,0,0
01,4900,Murchison Road,Other/Unknown,EMBEZZLEMENT - ALL OTHER,0,0,1,1,0,1,0,0,1,0,0,5,2,2,1,1,1,7,2.3,NA,NA,-50,-57,0,0,102,40.8,20.4,46.9
01,4900,Murchison Road,Other/Unknown,FORGERY - UNDETERMINED,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
01,4900,Murchison Road,Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,0,0,0,1,0,2,0,5,4,3,1,1,6,6,4,8,8,8,2.7,100,166.7,33.3,196,61.2,20.4,20.4,122.4,163.3,55.1
01,4900,Murchison Road,Aggravated Assault,AGG ASSAULT DOMESTIC MISD,0,0,0,6,3,5,6,12,17,14,11,7,11,13,7,8,8,29,9.7,-21.4,-42.9,-27.3,-18,285.7,224.5,142.9,224.5,163.3,198
01,4900,Murchison Road,Aggravated Assault,AGG ASSAULT FELONY,0,0,0,10,7,5,8,8,14,3,8,8,16,9,9,14,14,32,10.7,433.3,366.7,-12.5,31,61.2,163.3,163.3,326.5,285.7,218.4
01,4900,Murchison Road,Aggravated Assault,AGG ASSAULT MISDEMEANOR,0,0,0,1,8,12,19,17,19,20,26,22,30,25,16,33,35,78,26,50,75,16.7,35,408.2,530.6,449,612.2,714.3,530.6
01,4900,Murchison Road,Aggravated Assault,AGG ASSAULT OFFICER FELONY,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
01,4900,Murchison Road,Aggravated Assault,SHOOT INTO OCCUP DWELL FEL,0,0,0,4,5,1,5,5,6,7,14,17,15,5,5,16,16,46,15.3,114.3,128.6,6.7,5,142.9,285.7,346.9,306.1,326.5,312.2
01,4900,Murchison Road,Aggravated Assault,SHOOT INTO OCCUP VEH FEL,0,0,0,1,0,0,0,1,2,5,10,5,1,5,4,0,0,16,5.3,-80,-100,-100,-100,102,204.1,102,20.4,0,108.2
01,4900,Murchison Road,Other/Unknown,ASSAULT - SIMPLE - OFFICER,0,0,0,3,1,3,3,5,1,1,1,1,0,0,0,4,4,2,0.7,-100,300,NA,471,20.4,20.4,20.4,0,81.6,14.3
01,4900,Murchison Road,Other/Unknown,BEATING TAXI FARE,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
01,4900,Murchison Road,Other/Unknown,COUNTERFEIT- UNDETERMINED,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.3,NA,NA,NA,-100,0,0,20.4,0,0,6.1
01,4900,Murchison Road,Other/Unknown,FORGERY - POSSESSION / CONCEAL,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
01,4900,Murchison Road,Other/Unknown,FRAUD - LARCENY BY TRICKERY,0,0,0,0,1,0,1,3,2,1,0,1,0,2,3,3,3,1,0.3,-100,200,NA,900,20.4,0,20.4,0,61.2,6.1
01,4900,Murchison Road,Theft,LARCENY - MEDICATION,0,0,0,0,0,2,0,2,2,5,0,1,3,2,0,2,2,4,1.3,-40,-60,-33.3,54,102,0,20.4,61.2,40.8,26.5
01,4900,Murchison Road,Aggravated Assault,AGG ASLT SEX MOTIVE,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,-100,-100,NA,NA,20.4,0,0,0,0,0
01,4900,Murchison Road,Other/Unknown,FRAUD - COMPUTER,0,0,0,0,0,0,1,1,1,8,7,0,9,2,3,2,2,16,5.3,12.5,-75,-77.8,-62,163.3,142.9,0,183.7,40.8,108.2
01,4900,Murchison Road,Robbery,ROBBERY OF DELIVERY DRIVER,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,4,4,2,0.7,NA,NA,NA,471,0,40.8,0,0,81.6,14.3
01,4900,Murchison Road,Other/Unknown,ALL OTHER - BLACKMAIL/EXTORTION,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.3,NA,NA,-100,-100,0,0,0,20.4,0,6.1
01,4900,Murchison Road,Other/Unknown,STOLEN PROPERTY - BUY / RECEIVE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
01,4900,Murchison Road,Theft,LARCENY - COIN-OPERATED DEVICE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
01,4900,Murchison Road,Other/Unknown,IDENTITY THEFT,0,0,0,0,0,0,0,0,2,11,6,5,4,2,3,5,5,15,5,-63.6,-54.5,25,0,224.5,122.4,102,81.6,102,102
01,4900,Murchison Road,Theft,LARCENY - POCKET-PICKING,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-100,-100,NA,NA,20.4,0,0,0,0,0
01,4900,Murchison Road,Other/Unknown,FRAUD - WELFARE,0,0,0,0,0,0,0,0,0,2,0,1,2,2,1,0,1,3,1,0,-50,-50,0,40.8,0,20.4,40.8,20.4,20.4
01,4900,Murchison Road,Burglary,BURGLARY - SHOPLIFTING ESCALATION,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,1,1,3,1,NA,NA,0,0,0,40.8,0,20.4,20.4,20.4
01,4900,Murchison Road,Robbery,ROBBERY - SHOPLIFTING ESCALATION,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0.3,NA,NA,NA,233,0,20.4,0,0,20.4,6.1
01,4900,Murchison Road,Aggravated Assault,AGG ASSAULT OFFICER MISD,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,4,1,0.3,NA,NA,NA,1233,0,0,20.4,0,81.6,6.1
01,4900,Murchison Road,Other/Unknown,HACKING/COMPUTER INVASION,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0.7,NA,NA,-100,-100,0,0,20.4,20.4,0,14.3
01,4900,Murchison Road,Theft,LARCENY,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.3,NA,NA,-100,-100,0,0,0,20.4,0,6.1
01,4900,Murchison Road,Aggravated Assault,ASSAULT INFLICTING SERIOUS INJURY,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
01,4900,Murchison Road,Motor Vehicle Theft,AUTO THEFT,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
01,4900,Murchison Road,Burglary,BREAKING OR ENTERING BUILDINGS GENERALLY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
01,4900,Murchison Road,Other/Unknown,FRAUD- FALSE PRETENSE/TRICKERY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
01,4900,Murchison Road,Robbery,ROBBERY WITH FIREARMS OR OTHER DANGEROUS WEAPONS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
01,4900,Murchison Road,Other/Unknown,AFFRAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,NA,NA,NA,NA,0,0,0,0,40.8,0
01,4900,Murchison Road,Other/Unknown,ASSAULT ON CHILD UNDER 12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,NA,NA,NA,NA,0,0,0,0,40.8,0
02,9000,"Hillendale, Rivercliff and Country Club North",Aggravated Assault,AGGRAVATED ASSAULT,10,14,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
02,9000,"Hillendale, Rivercliff and Country Club North",Aggravated Assault,AGGRAVATED ASSAULT - DOMESTIC,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
02,9000,"Hillendale, Rivercliff and Country Club North",Burglary,BURGLARY - FORCIBLE ENTRY - BUSINESS,9,9,6,7,6,6,6,1,6,11,8,2,3,9,4,12,13,13,4.3,-72.7,18.2,333.3,202,122.2,88.9,22.2,33.3,144.4,47.8
02,9000,"Hillendale, Rivercliff and Country Club North",Burglary,BURGLARY - FORCIBLE ENTRY - RESIDENCE,110,108,108,81,56,43,35,28,32,27,27,12,18,13,11,15,15,57,19,-33.3,-44.4,-16.7,-21,300,300,133.3,200,166.7,211.1
02,9000,"Hillendale, Rivercliff and Country Club North",Burglary,BURGLARY - NO FORCE ENTRY - BUSINESS,1,0,2,0,0,0,0,0,3,0,0,0,1,0,0,1,1,1,0.3,NA,NA,0,233,0,0,0,11.1,11.1,3.3
02,9000,"Hillendale, Rivercliff and Country Club North",Burglary,BURGLARY - NO FORCE ENTRY - RESIDENCE,20,29,19,27,16,14,19,13,7,22,18,7,6,6,10,14,16,31,10.3,-72.7,-27.3,166.7,55,244.4,200,77.8,66.7,177.8,114.4
02,9000,"Hillendale, Rivercliff and Country Club North",Motor Vehicle Theft,MOTOR VEHICLE THEFT - AUTOMOBILE,18,15,14,14,11,9,6,4,8,13,17,15,11,32,24,37,37,43,14.3,-15.4,184.6,236.4,159,144.4,188.9,166.7,122.2,411.1,158.9
02,9000,"Hillendale, Rivercliff and Country Club North",Motor Vehicle Theft,MOTOR VEHICLE THEFT - OTHER VEHICLE,4,3,2,2,4,1,5,2,2,4,3,3,0,0,1,2,2,6,2,-100,-50,NA,0,44.4,33.3,33.3,0,22.2,22.2
02,9000,"Hillendale, Rivercliff and Country Club North",Motor Vehicle Theft,MOTOR VEHICLE THEFT - TRUCK,3,1,2,2,0,0,0,0,0,1,4,3,0,0,1,2,2,7,2.3,-100,100,NA,-13,11.1,44.4,33.3,0,22.2,25.6
02,9000,"Hillendale, Rivercliff and Country Club North",Other/Unknown,ALL OTHER - BLACKMAIL/EXTORTION,1,0,0,0,1,0,0,1,2,0,0,2,0,0,0,3,3,2,0.7,NA,NA,NA,329,0,0,22.2,0,33.3,7.8
02,9000,"Hillendale, Rivercliff and Country Club North",Other/Unknown,ALL OTHER - COMMUNICATING THREATS,24,25,24,31,19,33,20,22,17,13,21,21,21,30,18,28,30,63,21,61.5,130.8,42.9,43,144.4,233.3,233.3,233.3,333.3,233.3
02,9000,"Hillendale, Rivercliff and Country Club North",Other/Unknown,ALL OTHER - KIDNAPPING,3,2,5,2,1,4,1,5,0,1,1,1,1,4,2,2,2,3,1,0,100,100,100,11.1,11.1,11.1,11.1,22.2,11.1
02,9000,"Hillendale, Rivercliff and Country Club North",Other/Unknown,ARSON,2,2,3,4,1,1,2,3,2,1,0,3,4,2,3,1,1,7,2.3,300,0,-75,-57,11.1,0,33.3,44.4,11.1,25.6
02,9000,"Hillendale, Rivercliff and Country Club North",Other/Unknown,ASSAULT - DOMESTIC VIOLENCE,11,31,8,8,9,11,15,9,11,16,22,26,16,15,9,0,0,64,21.3,0,-100,-100,-100,177.8,244.4,288.9,177.8,0,236.7
02,9000,"Hillendale, Rivercliff and Country Club North",Other/Unknown,ASSAULT - NON PHYSICAL,1,0,0,0,1,1,0,1,1,0,0,0,1,1,3,2,2,1,0.3,NA,NA,100,567,0,0,0,11.1,22.2,3.3
02,9000,"Hillendale, Rivercliff and Country Club North",Other/Unknown,ASSAULT - NON PHYSICAL OFFICER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
02,9000,"Hillendale, Rivercliff and Country Club North",Other/Unknown,ASSAULT - PHYSICAL OFFICER,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
02,9000,"Hillendale, Rivercliff and Country Club North",Other/Unknown,ASSAULT - SIMPLE DOMESTIC,10,24,23,19,20,30,26,24,32,15,19,15,18,26,16,54,58,52,17.3,20,286.7,222.2,235,166.7,211.1,166.7,200,644.4,192.2
02,9000,"Hillendale, Rivercliff and Country Club North",Other/Unknown,ASSAULT - SIMPLE PHYSICAL,38,30,21,31,25,36,15,24,15,8,24,19,28,15,19,49,49,71,23.7,250,512.5,75,107,88.9,266.7,211.1,311.1,544.4,263.3
02,9000,"Hillendale, Rivercliff and Country Club North",Other/Unknown,COUNTERFEIT - BUY / RECEIVE,1,3,4,1,0,1,1,1,0,2,0,1,0,0,0,0,0,1,0.3,-100,-100,NA,-100,22.2,0,11.1,0,0,3.3
02,9000,"Hillendale, Rivercliff and Country Club North",Other/Unknown,COUNTERFEIT - USING,3,2,4,1,2,1,0,9,3,2,4,8,1,3,1,0,0,13,4.3,-50,-100,-100,-100,22.2,44.4,88.9,11.1,0,47.8
02,9000,"Hillendale, Rivercliff and Country Club North",Other/Unknown,EMBEZZLEMENT - ALL OTHER,6,0,2,5,1,0,1,1,4,0,2,4,2,4,1,0,0,8,2.7,NA,NA,-100,-100,0,22.2,44.4,22.2,0,30
02,9000,"Hillendale, Rivercliff and Country Club North",Other/Unknown,EMBEZZLEMENT - WIRE/COMPUTER/ELECTRONIC MANIPULATION,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
02,9000,"Hillendale, Rivercliff and Country Club North",Other/Unknown,FORGERY -  PRESCRIPTIONS,1,0,3,4,0,1,1,0,0,0,0,2,0,1,1,0,0,2,0.7,NA,NA,NA,-100,0,0,22.2,0,0,7.8
02,9000,"Hillendale, Rivercliff and Country Club North",Other/Unknown,FORGERY - BUY / RECEIVE,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
02,9000,"Hillendale, Rivercliff and Country Club North",Other/Unknown,FORGERY - UNDETERMINED,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
02,9000,"Hillendale, Rivercliff and Country Club North",Other/Unknown,FORGERY - USING / UTTERING,3,5,3,1,2,3,3,0,0,0,1,2,5,3,0,1,1,8,2.7,NA,NA,-80,-63,0,11.1,22.2,55.6,11.1,30
02,9000,"Hillendale, Rivercliff and Country Club North",Other/Unknown,FRAUD - CREDIT CARD / ATM,14,11,16,11,6,13,5,6,21,27,13,8,12,10,6,8,8,33,11,-55.6,-70.4,-33.3,-27,300,144.4,88.9,133.3,88.9,122.2
02,9000,"Hillendale, Rivercliff and Country Club North",Other/Unknown,FRAUD - FALSE PRETENSE,18,16,7,9,15,24,24,26,23,8,15,10,7,14,11,10,10,32,10.7,-12.5,25,42.9,-7,88.9,166.7,111.1,77.8,111.1,118.9
02,9000,"Hillendale, Rivercliff and Country Club North",Other/Unknown,FRAUD - IMPERSONATION,5,3,2,6,9,14,10,5,2,0,2,0,0,2,3,0,0,2,0.7,NA,NA,NA,-100,0,22.2,0,0,0,7.8
02,9000,"Hillendale, Rivercliff and Country Club North",Other/Unknown,FRAUD - OTHER,12,12,7,13,11,5,7,5,4,0,2,0,1,3,5,7,7,3,1,NA,NA,600,600,0,22.2,0,11.1,77.8,11.1
02,9000,"Hillendale, Rivercliff and Country Club North",Other/Unknown,FRAUD - UNAUTHORIZED USE OF CONVEYANCE,16,23,17,16,17,9,8,4,10,7,12,11,9,6,12,6,6,32,10.7,28.6,-14.3,-33.3,-44,77.8,133.3,122.2,100,66.7,118.9
02,9000,"Hillendale, Rivercliff and Country Club North",Other/Unknown,NON-PHYSICAL ASSAULT SEXUAL MOTIVE,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
02,9000,"Hillendale, Rivercliff and Country Club North",Other/Unknown,OTHER - THREATENING PHONE CALL,3,3,1,2,2,3,1,0,2,0,0,0,0,2,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
02,9000,"Hillendale, Rivercliff and Country Club North",Other/Unknown,PHYSICAL ASLT - SEXUAL MOTIVE,2,1,3,1,0,1,2,3,2,0,3,1,0,1,1,0,0,4,1.3,NA,NA,NA,-100,0,33.3,11.1,0,0,14.4
